M=1.5 Msun              				        M=3.0 Msu    
ISOT.            Z        X_ini       X_AGB_He      M_He(ej)	  X_AGB_He      M_He(ej)      
ba140   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la139   1.5000D-03   1.5419D-09     2.2759D-07    2.1424D-02	2.3975D-07    2.3600D-02   
la140   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la141   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce140   1.5000D-03   3.4994D-09     7.6770D-07    2.1424D-02	7.3080D-07    2.3600D-02   
ce141   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce142   1.5000D-03   4.4500D-10     2.7430D-08    2.1424D-02	1.2557D-07    2.3600D-02   
ce143   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr141   1.5000D-03   5.8565D-10     7.6785D-08    2.1424D-02	7.5805D-08    2.3600D-02   
pr142   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr143   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd142   1.5000D-03   7.9465D-10     2.0347D-07    2.1424D-02	1.5749D-07    2.3600D-02   
nd143   1.5000D-03   3.5566D-10     3.1205D-08    2.1424D-02	3.6174D-08    2.3600D-02   
nd144   1.5000D-03   7.0556D-10     1.0033D-07    2.1424D-02	1.2124D-07    2.3600D-02   
nd145   1.5000D-03   2.4776D-10     1.9158D-08    2.1424D-02	2.3370D-08    2.3600D-02   
nd146   1.5000D-03   5.1564D-10     9.3667D-08    2.1424D-02	1.1692D-07    2.3600D-02   
nd147   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd148   1.5000D-03   1.7558D-10     7.9062D-09    2.1424D-02	1.2542D-08    2.3600D-02   
nd149   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd150   1.5000D-03   1.7423D-10     9.1604D-13    2.1424D-02	2.3461D-13    2.3600D-02   
pm147   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm148   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm149   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
sm147   1.5000D-03   1.4588D-10     8.5131D-09    2.1424D-02	1.0650D-08    2.3600D-02   
sm148   1.5000D-03   1.0748D-10     3.0812D-08    2.1424D-02	3.8378D-08    2.3600D-02   
sm149   1.5000D-03   1.3193D-10     4.7461D-09    2.1424D-02	6.1539D-09    2.3600D-02   
sm150   1.5000D-03   7.1257D-11     2.0500D-08    2.1424D-02	2.6829D-08    2.3600D-02   
sm151   1.5000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
